Task ID,Phase,Component,Path,Family,Owner,Status,Priority,Target Sprint,Dark Mode,Remove Material UI,Update Download Button,Icon Cleanup,Scoped CSS Variables,Font Size Fix (rem),Notes
11,1 - Done,CTM Alerts,app/ctm-alerts/,ctm-alerts,N/A,Done,N/A,N/A,Done,N/A,N/A,N/A,Done,Done,"Reference implementation - :host + :host(.dark-theme), Phosphor icons, Chart.js"
12,1 - Done,Menu,app/menu/,layout,N/A,Done,N/A,N/A,Done,N/A,N/A,N/A,Done,Done,Reference implementation - :host + :host(.dark-theme)
13,2 - Jack,ESP Home,app/esp/esp-home/,esp,Jack,To Do,High,TBD,Yes,Yes (mat-icon),No,Yes (emoji search icon + mat-icon),Yes (no :host),Yes (px values),"Hub component for all CaseIQ sub-tabs. Uses mat-icon, emoji search icon, no dark mode, no :host block"
14,2 - Jack,CaseIQ Monitoring Dashboard,app/esp/caseiq-monitoring-dashboard/,caseiq,Jack,To Do,Low,TBD,Done,No,Yes (CSV progress btn to Phosphor),No,Done,No,"Already has :host + :host(.dark-theme) - reference impl. Only needs download button updated to phosphorArrowLineDownBold"
15,2 - Jack,CaseIQ (main sub-tab),app/esp/esp-home/caseiq/,caseiq,Jack,To Do,Medium,TBD,Yes,No,No,No,Yes (no :host),Yes (px + clamp()),"Uses Chart.js/auto, hardcoded px and clamp() font sizes. Needs :host block + dark mode + rem font sizes"
16,2 - Jack,CaseIQ AIT,app/esp/esp-home/caseiq-ait/,caseiq,Jack,To Do,Medium,TBD,Yes,No,No,Yes (emoji search icon),Yes (no :host),Yes,"Uses D3 via BarChartComponent (keep D3). Needs :host block, dark mode, emoji cleanup, rem fonts"
17,2 - Jack,CaseIQ CAP,app/esp/esp-home/caseiq-cap/,caseiq,Jack,To Do,Medium,TBD,Yes,No,No,Yes (emoji search icon),Yes (no :host),Yes,Same pattern as caseiq-ait - D3 charts + emoji + no dark mode
18,2 - Jack,CaseIQ FPP,app/esp/esp-home/caseiq-fpp/,caseiq,Jack,To Do,Medium,TBD,Yes,No,No,Yes (emoji search icon),Yes (no :host),Yes,Same pattern as caseiq-ait - D3 charts + emoji + no dark mode
19,2 - Jack,CaseIQ I2C,app/esp/esp-home/caseiq-i2c/,caseiq,Jack,To Do,Medium,TBD,Yes,No,No,Yes (emoji search icon),Yes (no :host),Yes,Same pattern as caseiq-ait - D3 charts + emoji + no dark mode
20,2 - Jack,CaseIQ OM,app/esp/esp-home/caseiq-om/,caseiq,Jack,To Do,Medium,TBD,Yes,No,No,Yes (emoji search icon),Yes (no :host),Yes,Same pattern as caseiq-ait - D3 charts + emoji + no dark mode
21,2 - Jack,CaseIQ P2P,app/esp/esp-home/caseiq-p2p/,caseiq,Jack,To Do,Medium,TBD,Yes,No,No,Yes (emoji search icon),Yes (no :host),Yes,Same pattern as caseiq-ait - D3 charts + emoji + no dark mode
22,2 - Jack,CaseIQ SM,app/esp/esp-home/caseiq-sm/,caseiq,Jack,To Do,Medium,TBD,Yes,Yes (mat-icon),No,Yes (emoji search icon + mat-icon),Yes (no :host),Yes,"Same as caseiq-ait PLUS uses mat-icon - needs both emoji and Material icon removal. Export via caseiq-table component"
23,2 - Jack,ESP Case Analyzer,app/esp/esp-case-analyzer/,esp,Jack,To Do,Medium,TBD,Yes,No,No,No,Yes (no :host),Yes,"Chart.js bar charts for BIR/PRMC comparison. Needs :host block, dark mode, rem fonts"
24,2 - Jack,SBP ESP Case Analyzer,app/esp/sbp-esp-case-analyzer/,esp,Jack,To Do,Medium,TBD,Yes,No,No,No,Yes (no :host),Yes,"Same pattern as esp-case-analyzer - Chart.js bar charts, needs :host + dark mode"
25,2 - Jack,Global Search Dialog,app/esp/global-search-dialog/,esp,Jack,To Do,Low,TBD,Yes,No,No,No,Yes (no :host),Yes,"Dialog component. Needs :host block, dark mode. Export handled via child caseiq-table"
26,2 - Jack,Upload Screen,app/esp/esp-home/upload-screen/,esp,Jack,To Do,Low,TBD,Yes,No,No,No,Yes (no :host),Yes,"File upload screen for ESP. Needs :host block, dark mode"
27,2 - Jack,WD0 Dashboard,app/wd0-dash/,wd0,Jack,To Do,Medium,TBD,Yes (has :host but no dark),No,No,No,Done (:host exists),Yes,"Has :host block already - just needs :host(.dark-theme) added, rem font fixes"
28,2 - Jack,WD0 Historical Data,app/wd0-historical-data/,wd0,Jack,To Do,Medium,TBD,Yes,No,Yes (SVG to Phosphor),Yes (emoji up-down arrows),Yes (no :host),Yes,"Chart.js (pie + line) + chartjs-plugin-datalabels. SVG download icon to Phosphor. Emoji up-down arrows to Phosphor caret icons"
29,2 - Jack,Period Close Tracking,app/period-close-tracking/,period-close,Jack,To Do,Medium,TBD,Yes (has :host but no dark),No,No,No,Done (:host exists),Yes,"Uses atmf shared components (chart, card, table). Has :host but needs :host(.dark-theme). Chart.js via ng2-charts"
30,2 - Jack,Issue Reporting,app/issue-reporting/,other,Jack,To Do,High,TBD,Yes (has :host but no dark),Yes (mat-table + mat-dialog),Yes (FA download icon),Yes (FA icons),Done (:host exists),Yes,"Heavy overhaul - mat-table, mat-dialog, Font Awesome icons, download button. Has :host but no dark"
31,2 - Jack,Issue Reporting - Bulk Approve/Reject,app/issue-reporting/bulk-approve-reject/,other,Jack,To Do,Medium,TBD,Yes,Yes (mat-dialog),No,No,Yes (no :host),Yes,"Bootstrap btn classes (btn, btn-default) to ui/atoms button. mat-dialog to custom modal"
32,2 - Jack,Issue Reporting - Issue Upload,app/issue-reporting/issue-upload/,other,Jack,To Do,Medium,TBD,Yes,No,Yes (template download),Yes (FA icons),Yes (no :host),Yes,"Bootstrap btn btn-primary to ui/atoms button. FA icons to Phosphor. Download .xlsx template"
33,2 - Jack,Order Lifecycle,app/order-lifecycle/,other,Jack,To Do,High,TBD,Yes (has :host but no dark),Yes (mat-table + mat-button + matInput + matDatepicker),No,No,Done (:host exists),Yes,"Heavy overhaul - SCSS file, Bootstrap btns (btn-success, btn-danger, btn-primary), full Material dependency. Convert SCSS to CSS"
34,2 - Jack,Order Lifecycle - CLO Updates,app/order-lifecycle/clo-updates/,other,Jack,To Do,Medium,TBD,Yes,Yes (matInput),No,No,Yes (no :host),Yes,"Bootstrap btn btn-primary to ui/atoms button. matInput to custom text-input atom"
35,2 - Jack,Order Lifecycle - Column Select,app/order-lifecycle/column-select/,other,Jack,To Do,Low,TBD,Yes,Yes (mat-dialog),No,No,Yes (no :host - SCSS),Yes,"SCSS file, mat-dialog-content to custom modal. Convert SCSS to CSS"
36,2 - Jack,Order Lifecycle - Summary,app/order-lifecycle/order-lifecycle-summary/,other,Jack,To Do,Medium,TBD,Yes,Yes (mat-table + mat-dialog),Yes (SVG download-icon-white to Phosphor),No,Yes (no :host),Yes,"mat-table, mat-dialog-content, SVG download icon white variant to Phosphor. exportByTab() function"
37,2 - Jack,Order Lifecycle - Rev Summary,app/order-lifecycle/order-lifecycle-rev-summary/,other,Jack,To Do,Low,TBD,Yes,Yes (mat-dialog),No,No,Yes (no :host - SCSS),Yes,"SCSS file, mat-dialog-content to custom modal. Convert SCSS to CSS"
38,2 - Jack,Order Lifecycle - Upload,app/order-lifecycle/order-lifecycle-upload/,other,Jack,To Do,Low,TBD,Yes,Yes (matInput),No,No,Yes (no :host),Yes,matInput to custom text-input atom
39,2 - Jack,OPL,app/opl/,other,Jack,To Do,Medium,TBD,Yes,Yes (mat-table),No,No,Yes (no :host),Yes,"No :host, no dark mode, uses mat-table to custom data-table"
40,2 - Jack,Chatbot,app/chatbot/,other,Jack,To Do,Low,TBD,Yes (has :host but no dark),No,No,No,Done (:host exists),Yes,"Has :host block - needs :host(.dark-theme). Custom button classes (chat-close-btn, chat-send-btn) - standardize"
41,2 - Jack,Business Insights,app/business-insights/,other,Jack,To Do,Low,TBD,Yes,Yes (mat-icon),No,Yes (mat-icon),Yes (no :host),Yes,"No :host, no dark mode, uses mat-icon to Phosphor"
42,3 - Abhijith,Monitoring Dashboard (core),app/monitoring-dashboard/,monitoring,Abhijith,To Do,High,TBD,Yes,Yes (mat-table + mat-icon-button + mat-paginator + matInput),Yes (SVG download icons to Phosphor),Yes (SVG icons),Yes (no :host),Yes,"CRITICAL - all 7 consumer components inherit its styles. Must be done before consumers. Remove mat-table to custom data-table, mat-icon-button to ui/atoms button, SVG download to Phosphor"
43,3 - Abhijith,Monitoring Dashboard - Process Flow Tooltip,app/monitoring-dashboard/process-flow-tooltip/,monitoring,Abhijith,To Do,Medium,TBD,Yes,No,No,No,Yes,Yes,Tooltip sub-component - styling standardization + dark mode
44,3 - Abhijith,Monitoring Dashboard - User Assignment,app/monitoring-dashboard/user-assignment/,monitoring,Abhijith,To Do,Low,TBD,Yes,No,No,No,Done,No,"Already uses fit-btn fit-btn--primary/--secondary. Minor cleanup - verify dark mode works, standardize any remaining styles"
45,3 - Abhijith,AIT (monitoring consumer),app/ait/,monitoring,Abhijith,To Do,Medium,TBD,Yes,N/A (inherits from monitoring-dashboard),N/A (inherits),Yes (emoji search icon),Yes (no :host),Yes,"Uses monitoring-dashboard component. Emoji search icon to Phosphor. Add :host block, dark mode"
46,3 - Abhijith,Custom Revenue (monitoring consumer),app/custom-revenue/,monitoring,Abhijith,To Do,Medium,TBD,Yes,N/A (inherits),N/A (inherits),Yes (emoji search icon),Yes (no :host),Yes,"Uses monitoring-dashboard component. Emoji search icon to Phosphor. Add :host block, dark mode"
47,3 - Abhijith,GL Posting (monitoring consumer),app/gl-posting/,monitoring,Abhijith,To Do,Medium,TBD,Yes,N/A (inherits),N/A (inherits),Yes (emoji search icon),Yes (no :host),Yes,"Uses monitoring-dashboard component. Emoji search icon to Phosphor. Add :host block, dark mode"
48,3 - Abhijith,Invoicing (monitoring consumer),app/invoicing/,monitoring,Abhijith,To Do,High,TBD,Yes,N/A (inherits),N/A (inherits),Yes (emoji search icon),Yes (no :host),Yes,"Heavy - 10+ monitoring-dashboard instances in template. Emoji search icon to Phosphor. Add :host block, dark mode"
49,3 - Abhijith,Operations Controls (monitoring consumer),app/operations-controls/,monitoring,Abhijith,To Do,Medium,TBD,Yes,N/A (inherits),N/A (inherits),Yes (emoji search icon),Yes (no :host),Yes,"Uses monitoring-dashboard component. Emoji search icon to Phosphor. Add :host block, dark mode"
50,3 - Abhijith,Order Management (monitoring consumer),app/order-management/,monitoring,Abhijith,To Do,High,TBD,Yes,N/A (inherits),N/A (inherits),Yes (emoji search icon),Yes (no :host),Yes,"Heavy - 8+ monitoring-dashboard instances in template. Emoji search icon to Phosphor. Add :host block, dark mode"
51,3 - Abhijith,WIPs (monitoring consumer),app/wips/,monitoring,Abhijith,To Do,Medium,TBD,Yes,N/A (inherits),N/A (inherits),No,Yes (no :host),Yes,"Uses monitoring-dashboard component. Add :host block, dark mode"
52,3 - Abhijith,O2C 360,app/o2c/o2c-360/,o2c,Abhijith,To Do,High,TBD,Yes,Yes (8+ mat-tables + mat-icon),No,Yes (mat-icon + emoji warning icon),Yes (no :host),Yes,"Heavy overhaul - 8+ mat-tables, mat-icon, emoji warning icon. Largest O2C component"
53,3 - Abhijith,O2C GL,app/o2c/o2c-gl/,o2c,Abhijith,To Do,High,TBD,Yes,Yes (6 mat-tables),Yes (SVG download icon),Yes (SVG icons),Yes (no :host),Yes,"Heavy - 6 mat-tables, SVG download icon, custom toolbar-btn and back-btn-floating styles"
54,3 - Abhijith,O2C Landing,app/o2c/o2c-landing/,o2c,Abhijith,To Do,Medium,TBD,Yes,No,No,No,Yes (no :host),Yes,"Hub/container for O2C sub-pages. Needs :host block, dark mode"
55,3 - Abhijith,O2C Hardware,app/o2c/o2c-landing/o2c-hardware/,o2c,Abhijith,To Do,Medium,TBD,Yes,No,No,No,Yes (no :host),Yes,"O2C sub-page. Needs :host block, dark mode"
56,3 - Abhijith,O2C Services,app/o2c/o2c-landing/o2c-services/,o2c,Abhijith,To Do,Medium,TBD,Yes,No,No,No,Yes (no :host),Yes,"O2C sub-page. Needs :host block, dark mode"
57,3 - Abhijith,O2C Sub,app/o2c/o2c-landing/o2c-sub/,o2c,Abhijith,To Do,Medium,TBD,Yes,No,No,No,Yes (no :host),Yes,"O2C sub-page container. Needs :host block, dark mode"
58,3 - Abhijith,O2C Accounting,app/o2c/o2c-landing/o2c-sub/o2c-accounting/,o2c,Abhijith,To Do,Medium,TBD,Yes,No,No,No,Yes (no :host),Yes,"O2C sub-page. Needs :host block, dark mode"
59,3 - Abhijith,O2C Cash,app/o2c/o2c-landing/o2c-sub/o2c-cash/,o2c,Abhijith,To Do,Medium,TBD,Yes,No,No,No,Yes (no :host),Yes,"O2C sub-page. Needs :host block, dark mode"
60,3 - Abhijith,O2C Invoice,app/o2c/o2c-landing/o2c-sub/o2c-invoice/,o2c,Abhijith,To Do,Medium,TBD,Yes,No,No,No,Yes (no :host),Yes,"O2C sub-page. Needs :host block, dark mode"
61,3 - Abhijith,O2C Order,app/o2c/o2c-landing/o2c-sub/o2c-order/,o2c,Abhijith,To Do,Medium,TBD,Yes,No,No,No,Yes (no :host),Yes,"O2C sub-page. Needs :host block, dark mode"
62,3 - Abhijith,O2C Subscription,app/o2c/o2c-landing/o2c-sub/o2c-subscription/,o2c,Abhijith,To Do,Medium,TBD,Yes,No,No,No,Yes (no :host),Yes,"O2C sub-page. Needs :host block, dark mode"
63,3 - Abhijith,O2C Bill Details,app/o2c/o2c-bill-details/,o2c,Abhijith,To Do,Medium,TBD,Yes,No,No,No,Yes (no :host),Yes,"O2C sub-page. Needs :host block, dark mode"
64,3 - Abhijith,O2C Bill Schedule,app/o2c/o2c-bill-schedule/,o2c,Abhijith,To Do,Medium,TBD,Yes,No,No,No,Yes (no :host),Yes,"O2C sub-page. Needs :host block, dark mode"
65,3 - Abhijith,O2C TSV,app/o2c/o2c-tsv/,o2c,Abhijith,To Do,Medium,TBD,Yes,No,No,No,Yes (no :host),Yes,"O2C sub-page. Needs :host block, dark mode"
66,3 - Abhijith,O2C View All,app/o2c/o2c-view-all/,o2c,Abhijith,To Do,Medium,TBD,Yes,No,No,No,Yes (no :host),Yes,"O2C sub-page. Needs :host block, dark mode"
67,4 - Shared,Shared Card Component,app/components/card/,shared,First-need,To Do,Medium,TBD,Yes,No,No,No,Yes,Yes,"Reusable card - needs :host + dark mode + standardize border-radius to 16px / design tokens"
68,4 - Shared,CaseIQ Table Component,app/components/caseiq-table/,shared,First-need,To Do,High,TBD,Yes,Yes (mat-table + mat-icon),Yes (download btn to Phosphor),Yes (mat-icon),Yes,Yes,"Used by multiple caseiq sub-tabs for data tables + export. btn-base to ui/atoms button. mat-table to custom data-table"
69,4 - Shared,Table Modal Component,app/components/table-modal/,shared,First-need,To Do,Medium,TBD,Yes,Yes (mat-table),Yes (SVG download to Phosphor),Yes (SVG icons),Yes,Yes,"SVG download-icon to Phosphor. mat-table to custom data-table"
70,4 - Shared,Metric Tile Component,app/components/metric-tile/,shared,First-need,To Do,Medium,TBD,Yes,No,No,No,Yes,Yes,"Reusable KPI/metric tile. Standardize to design tokens, add dark mode"
71,4 - Shared,Modal Component,app/components/modal/,shared,First-need,To Do,Medium,TBD,Yes,No,No,No,Yes,Yes,"Reusable modal - standardize styling, add dark mode"
72,4 - Shared,Table Component,app/components/table/,shared,First-need,To Do,Medium,TBD,Yes,No,No,No,Yes,Yes,"Reusable table - standardize styling, add dark mode"
73,4 - Shared,Bar Chart (Chart.js),app/components/bar-chartjs/,shared,First-need,To Do,Low,TBD,Yes,No,No,No,Yes,Yes,"Chart.js + chartjs-plugin-datalabels. Visual consistency: standardize colors, fonts, tooltip styling"
74,4 - Shared,Bar Chart (D3),app/components/bar-chart/,shared,First-need,To Do,Low,TBD,Yes,No,No,No,Yes,Yes,"D3.js chart - keep D3, just visual consistency (colors, fonts). Dark mode support"
75,4 - Shared,O2C Accordion,app/components/o2c-accordion/,shared,First-need,To Do,Medium,TBD,Yes,No,No,No,Yes,Yes,"O2C shared component - add :host block, dark mode, design tokens"
76,4 - Shared,O2C Card,app/components/o2c-card/,shared,First-need,To Do,Medium,TBD,Yes,No,No,No,Yes,Yes,"O2C shared component - add :host block, dark mode, glass card styling"
77,4 - Shared,O2C Donut Chart,app/components/o2c-donut/,shared,First-need,To Do,Medium,TBD,Yes,No,No,No,Yes,Yes,"Chart.js doughnut/pie - dark mode support, visual consistency with other charts"
78,4 - Shared,O2C Process Flow,app/components/o2c-process-flow/,shared,First-need,To Do,Medium,TBD,Yes,No,No,No,Yes,Yes,"O2C shared component - add dark mode, standardize styling"
79,4 - Shared,O2C Search,app/components/o2c-search/,shared,First-need,To Do,Medium,TBD,Yes,No,No,No,Yes,Yes,"O2C shared component - add dark mode, standardize styling"
80,4 - Shared,O2C Table,app/components/o2c-table/,shared,First-need,To Do,High,TBD,Yes,Yes (mat-table),No,No,Yes,Yes,"Remove mat-table to custom data-table. Add dark mode. Used by multiple O2C pages"
81,4 - Shared,O2C Toolbar,app/components/o2c-toolbar/,shared,First-need,To Do,Medium,TBD,Yes,No,No,No,Yes,Yes,"O2C shared component - add dark mode, standardize button styles"
82,4 - Shared,ATMF Bar/Line Chart,app/components/atmf/atmf-bar-line-chart/,shared,First-need,To Do,Medium,TBD,Yes,No,No,No,Yes,Yes,"Chart.js via ng2-charts. Add dark mode support, visual consistency"
83,4 - Shared,ATMF Card,app/components/atmf/atmf-card/,shared,First-need,To Do,Medium,TBD,Yes,No,No,No,Yes,Yes,"Period-close shared card - add dark mode, standardize to glass card pattern"
84,4 - Shared,ATMF Table,app/components/atmf/atmf-table/,shared,First-need,To Do,Medium,TBD,Yes,No,No,No,Yes,Yes,"Period-close shared table - add dark mode. Uses up triangledown triangle emoji for sort indicators"
85,4 - Shared,O2C Nav,app/shared/o2c-nav/,shared,First-need,To Do,Low,TBD,Yes,No,No,No,Yes,Yes,"O2C navigation component - add dark mode, border-radius: 24px to design tokens"
86,4 - Shared,O2C Sidebar Nav,app/shared/o2c-sidebar-nav/,shared,First-need,To Do,Low,TBD,Yes,No,No,No,Yes,Yes,O2C sidebar navigation - add dark mode
87,4 - Shared,Table Filter,app/shared/table-filter/,shared,First-need,To Do,Medium,TBD,Yes,Yes (mat-icon),No,Yes (mat-icon to Phosphor),Yes,Yes,"Uses mat-icon (filter_list) to Phosphor. Add dark mode"
88,4 - Shared,Menu Mini,app/shared/menu-mini/,shared,First-need,To Do,Low,TBD,Yes,No,No,No,Yes,Yes,Compact menu variant - standardize styling + dark mode
